Subtotal Area	JEFF ADACHI	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Ballots Counted	Writein Votes
All Precincts	286,688	500,516	372,848	4,270	70	77,150	0	291,358	4,670
All Precincts - Election Day	96,297	500,516	127,886	933	22	29,004	0	97,927	1,630
All Precincts - Vote By Mail	190,391	500,516	244,962	3,337	48	48,146	0	193,431	3,040
Precinct 1101 - Election Day	89	553	126	0	0	31	0	95	6
Precinct 1101 - Vote By Mail	217	553	266	4	0	44	0	218	1
Precinct 1102 - Election Day	225	995	266	0	0	36	0	230	5
Precinct 1102 - Vote By Mail	376	995	480	1	1	97	0	381	5
Precinct 1103 - Election Day	178	951	246	4	0	59	0	183	5
Precinct 1103 - Vote By Mail	360	951	445	-2	1	75	0	371	11
Precinct 1104/1105 - Election Day	194	993	249	-1	0	36	0	214	20
Precinct 1104/1105 - Vote By Mail	333	993	414	2	0	68	0	344	11
Precinct 1106 - Election Day	149	765	191	0	0	41	0	150	1
Precinct 1106 - Vote By Mail	259	765	343	3	0	77	0	263	4
Precinct 1107 - Election Day	112	746	163	34	0	16	0	113	1
Precinct 1107 - Vote By Mail	266	746	336	8	0	58	0	270	4
Precinct 1108 - Election Day	166	909	232	-1	0	64	0	169	3
Precinct 1108 - Vote By Mail	349	909	438	1	0	84	0	353	4
Precinct 1109 - Election Day	124	798	166	-1	0	39	0	128	4
Precinct 1109 - Vote By Mail	282	798	365	5	0	72	0	288	6
Precinct 1111 - Election Day	148	1,002	205	0	0	53	0	152	4
Precinct 1111 - Vote By Mail	369	1,002	460	4	0	76	0	380	11
Precinct 1112 - Election Day	121	769	151	1	0	27	0	123	2
Precinct 1112 - Vote By Mail	275	769	344	3	0	63	0	278	3
Precinct 1113 - Election Day	102	746	135	13	0	17	0	105	3
Precinct 1113 - Vote By Mail	278	746	360	4	0	67	0	289	11
Precinct 1114 - Election Day	155	957	226	0	0	68	0	158	3
Precinct 1114 - Vote By Mail	320	957	404	5	0	74	0	325	5
Precinct 1115 - Election Day	139	895	174	1	0	31	0	142	3
Precinct 1115 - Vote By Mail	290	895	371	6	0	70	0	295	5
Precinct 1116 - Election Day	166	895	225	2	0	54	0	169	3
Precinct 1116 - Vote By Mail	301	895	376	7	0	62	0	307	6
Precinct 1117 - Election Day	142	858	185	-4	0	44	0	145	3
Precinct 1117 - Vote By Mail	276	858	357	5	0	73	0	279	3
Precinct 1118 - Election Day	164	1,043	213	1	0	41	0	171	7
Precinct 1118 - Vote By Mail	381	1,043	476	5	0	86	0	385	4
Precinct 1119 - Election Day	118	791	165	0	0	44	0	121	3
Precinct 1119 - Vote By Mail	306	791	386	2	0	69	0	315	9
Precinct 1121 - Election Day	112	691	160	0	0	46	0	114	2
Precinct 1121 - Vote By Mail	227	691	313	3	0	76	0	234	7
Precinct 1122 - Election Day	77	632	110	0	0	29	0	81	4
Precinct 1122 - Vote By Mail	246	632	310	2	0	55	0	253	7
Precinct 1123 - Election Day	149	915	179	0	0	27	0	152	3
Precinct 1123 - Vote By Mail	289	915	364	5	1	66	0	292	3
Precinct 1124 - Election Day	116	819	152	-2	0	36	0	118	2
Precinct 1124 - Vote By Mail	251	819	302	1	0	47	0	254	3
